id,code,name,address,state,zone
1,"","",,,?
2,AA,Ataria,"Sitapur National Highway 24, Uttar Pradesh","Uttar Pradesh",NER
3,AAG,Angar,"Solapur, Maharashtra",Maharashtra,CR
4,AAH,Itehar,"State Highway 19, Madhya Pradesh","Madhya Pradesh",NCR
5,AAL,Amlai,"Anuppur, Madhya Pradesh","Madhya Pradesh",SECR
6,AAM,Angadippuram,"Angadipuram, Kerala",Kerala,SR
7,AAP,Ambiapur,"Jhinjhak, Uttar Pradesh","Uttar Pradesh",NCR
8,AAR,Adesar,"Dist. Kachchh, Gujarat",Gujarat,WR
9,AAS,Asranada,"State Highway 58, Rajasthan",Rajasthan,NWR
10,AAV,Ambav,"Ambav, Gujarat",Gujarat,WR
11,AAY,Aralvaymozhi,"Dist. Kanniyakumari, Tamil Nadu","Tamil Nadu",SR
12,AB,Ambur,"Ambur, Tamil Nadu","Tamil Nadu",SR
13,ABB,Abada,"Dist. Birbhum, West Bengal","West Bengal",SER
14,ABD,"Ambli Road","Ahmedabad, Gujarat",Gujarat,WR
15,ABE,Ambikeshwar,"State Highway 2, Madhya Pradesh","Madhya Pradesh",NCR
16,ABEO,Pattaravakkam,,,SR
17,ABFC,"Ambari Falakata","Ambari, West Bengal","West Bengal",NFR
18,ABGT,"Arbagatta Halt","State Highway 47, Karnataka",Karnataka,SWR
19,ABH,Ambarnath,"Ambarnath, Maharashtra",Maharashtra,CR
20,ABI,Ambaturai,"Dindigul, Tamil Nadu","Tamil Nadu",SR
21,ABKA,"Ambika Kalna","Kalna, West Bengal","West Bengal",ER
22,ABKP,Ambikapur,"Surguja, Chhattisgarh",Chhattisgarh,SECR
23,ABLE,Ambale,"Malshiras Rd, Maharashtra",Maharashtra,CR
24,ABO,"Asthal Bohar","Rohtak, Haryana",Haryana,NR
25,ABP,Akbarpur,"Akbarpur, Uttar Pradesh","Uttar Pradesh",NR
26,ABR,"Abu Road","Sirohi Dist, Rajasthan",Rajasthan,NWR
27,ABS,Abohar,"Abohar, Punjab",Punjab,NR
28,ABSA,Ambassa,"Ambassa, Tripura",Tripura,NFR
29,ABU,Ambattur,"Ambatturavadi, Tamil Nadu","Tamil Nadu",SR
30,ABW,"Abutara Halt","Dinhata, West Bengal","West Bengal",NFR
31,ABX,Ambari,"Kinwat, Maharashtra",Maharashtra,SCR
32,ABY,Ambivli,"Ambivli, Maharashtra",Maharashtra,CR
33,ABZ,"Adgaon Buzurg","Akola, Maharashtra",Maharashtra,SCR
