id,number,name,type,zone,from_station_code,from_station_name,to_station_code,to_station_name,departure,arrival,duration,number_of_halts,distance,departure_days,sunday,monday,tuesday,wednesday,thursday,friday,saturday,classes,first_ac,second_ac,third_ac,first_class,sleeper,chair_car,second_sitting,return_train,date_from,date_to
1,01101,"Mumbai LTT - Gwalior (Weekly) Special",Exp,CR,LTT,"Mumbai Lokmanya Tilak Terminus",GWL,"Gwalior Junction",15:50,15:35,"23h 45m",14,"1216 km",---W---,0,0,0,1,0,0,0,"SL 3A",0,0,1,0,1,0,0,01102,,
2,01102,"Gwalior Mumbai LTT (Weekly) Special",Exp,CR,GWL,"Gwalior Junction",LTT,"Mumbai Lokmanya Tilak Terminus",15:00,12:05,"21h 5m",14,"1216 km",--T----,0,0,1,0,0,0,0,"SL 3A",0,0,1,0,1,0,0,01101,,
3,01493,"Hubli Bijapur Special",Exp,CR,UBL,"Hubli Junction",BJP,Bijapur,17:15,23:10,"5h 55m",11,"249 km",SMTWTFS,1,1,1,1,1,1,1,SL,0,0,0,0,1,0,0,01494,,
4,01494,"Bijapur Hubli Special",Exp,CR,BJP,Bijapur,UBL,"Hubli Junction",00:05,06:10,"6h 5m",12,"249 km",SMTWTFS,1,1,1,1,1,1,1,SL,0,0,0,0,1,0,0,01493,,
5,02081,"Jaipur Luharu Special",Exp,NWR,JP,"Jaipur Junction",LHU,Loharu,18:25,01:00,"6h 35m",24,"229 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02082,"Nov 24","Jun 30"
6,02082,"Loharu - Jaipur Passenger Spl (MG)",Pass,NWR,LHU,Loharu,JP,"Jaipur Junction",02:40,09:35,"6h 55m",23,"229 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02083,"Nov 24","Jun 30"
7,02083,"Jaipur-Loharu MG Passenger Special",Pass,NWR,JP,"Jaipur Junction",LHU,Loharu,23:30,06:10,"6h 40m",15,"229 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02084,"Nov 26","Jun 30"
8,02084,"Loharu - Jaipur Passenger Spl (MG)",Pass,NWR,LHU,Loharu,JP,"Jaipur Junction",23:10,05:45,"6h 35m",15,"230 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02083,"Nov 25","Jun 30"
9,02085,"Jaipur - Churu Passenger Spl (MG)",Pass,NWR,JP,"Jaipur Junction",CUR,Churu,16:55,22:15,"5h 20m",21,"198 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02086,"Nov 25","Jun 30"
10,02086,"Churu - Jaipur Passenger Spl (MG)",Pass,NWR,CUR,Churu,JP,"Jaipur Junction",05:15,11:05,"5h 50m",20,"198 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02085,"Nov 24","Jun 30"
11,02087,"Jaipur - Churu Passenger Spl (MG)",Pass,NWR,JP,"Jaipur Junction",CUR,Churu,20:30,03:45,"7h 15m",14,"198 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02086,"Nov 24","Jun 30"
12,02088,"Churu - Jaipur Passenger Spl (MG)",Pass,NWR,CUR,Churu,JP,"Jaipur Junction",03:05,08:15,"5h 10m",15,"198 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02087,"Nov 24","Jun 30"
13,02089,"Sikar - Churu Passenger Spl (MG)",Pass,NWR,SIKR,"Sikar Junction",CUR,Churu,11:05,13:35,"2h 30m",7,"90 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02090,"Nov 26","Jun 30"
14,02090,"Sikar - Churu Passenger Spl (MG)",Pass,NWR,CUR,Churu,SIKR,"Sikar Junction",14:00,16:05,"2h 5m",7,"90 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02089,"Nov 25","Jun 30"
15,02093,"Jaipur Loharu Passenger",Pass,NWR,JP,"Jaipur Junction",LHU,Loharu,07:45,14:40,"6h 55m",18,"229 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02094,"","Jun 30"
16,02094,"Loharu - Jaipur Passenger Spl (MG)",Pass,NWR,LHU,Loharu,JP,"Jaipur Junction",12:40,19:30,"6h 50m",17,"230 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02093,"Nov 25","Jun 30"
17,02411,"Ratangarh-Sardarshahar Passenger",Pass,NR,RTGH,"Ratangarh Junction",SRDR,Sardarshahr,11:30,13:10,"1h 40m",1,"46 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02412,"","Jun 30"
18,02412,"Sardarshahr-Ratangarh Passenger Special",Pass,NR,SRDR,Sardarshahr,RTGH,"Ratangarh Junction",13:40,15:20,"1h 40m",1,"46 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02411,"","Jun 30"
19,02413,"Sadulpur-Shri Ganganagar Passenger Special",Pass,NWR,SDLP,"Sadulpur Junction",SGNR,"Shri Ganganagar",02:30,08:15,"5h 45m",8,"246 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02414,"","Jun 30"
20,02414,"Sri Ganganagar Sadulpur Passenger Holiday Special",Pass,NWR,SGNR,"Shri Ganganagar",SDLP,"Sadulpur Junction",20:05,01:40,"5h 35m",8,"246 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02413,"","Jun 30"
21,02423,"Dibrugarh Guwahati Rajdhani Express",Raj,NR,DBRT,"Dibrugarh Town",GHY,Guwahati,20:15,06:15,"10h 0m",5,"564 km",S-TWT-S,1,0,1,1,1,0,1,3A,0,0,1,0,0,0,0,02424,,
22,02424,"Guwahati Dibrugarh Rajdhani Express",Raj,NR,GHY,Guwahati,DBRT,"Dibrugarh Town",18:05,05:00,"10h 55m",5,"564 km",S-TWT-S,1,0,1,1,1,0,1,3A,0,0,1,0,0,0,0,02423,,
23,02435,"Dibrugarh Guwahati Rajdhani Express",Raj,NR,DBRT,"Dibrugarh Town",GHY,Guwahati,19:00,05:05,"10h 5m",5,"564 km",-M---F-,0,1,0,0,0,1,0,3A,0,0,1,0,0,0,0,02436,,
24,02436,"Guwahati Dibrugarh Rajdhani Express",Raj,NR,GHY,Guwahati,DBRT,"Dibrugarh Town",19:45,06:25,"10h 40m",5,"564 km",-M---F-,0,1,0,0,0,1,0,3A,0,0,1,0,0,0,0,02435,,
25,02451,"Kalka Shimla Holiday Special",Pass,?,KLK,Kalka,SML,Shimla,07:00,12:10,"5h 10m",8,"95 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02452,"Dec 15","Jan 15"
26,02452,"Shimla Kalka Holiday Special",Pass,?,SML,Shimla,KLK,Kalka,15:50,21:10,"5h 20m",9,"96 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02451,"Dec 15","Jan 15"
27,02453,"Kalka Shimla Holiday Special",Pass,?,KLK,Kalka,SML,Shimla,12:45,18:10,"5h 25m",11,"95 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02452,"Dec 15","Jan 15"
28,02454,"Shimla Kalka Holiday Special",Pass,?,SML,Shimla,KLK,Kalka,09:25,15:20,"5h 55m",8,"96 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,02453,"Dec 15","Jan 15"
29,02779,"Vasco da Gama Bangalore Link Express",SF,SWR,VSG,"Vasco Da Gama",SBC,"Bangalore City Junction",15:10,07:35,"16h 25m",19,"705 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A",0,0,1,0,1,0,0,,,
30,03283,"Rajendra Nagar-Tatanagar Special",Exp,ECR,RJPB,"Rajendra Nagar Bihar",TATA,"Tatanagar Junction",23:15,10:05,"10h 50m",16,"496 km",------S,0,0,0,0,0,0,1,"SL 3A 2A",0,1,1,0,1,0,0,03284,,
31,03284,"Tatanagar-Rajendra Nagar Special",Exp,ECR,TATA,"Tatanagar Junction",RJPB,"Rajendra Nagar Bihar",11:00,22:00,"11h 0m",16,"496 km",S------,1,0,0,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,03283,,
32,03686,"Delhi Gaya S",SF,ECR,DLI,"Old Delhi",GAYA,"Gaya Junction",19:10,09:45,"14h 35m",5,"972 km",-----F-,0,0,0,0,0,1,0,"SL 3A 2A",0,1,1,0,1,0,0,03685,,
33,04011,"Sainagar Shirdi - H. Nizamuddin (Weekly) Special",Exp,NR,SNSI,"Sainagar Shirdi",NZM,"Delhi Hazrat Nizamuddin",10:00,12:55,"26h 55m",11,"1361 km",------S,0,0,0,0,0,0,1,"SL 3A 2A",0,1,1,0,1,0,0,04012,"Nov 19","Dec 10"
34,04012,"H. Nizamuddin - Sainagar Shirdi (Weekly) Special",Exp,NR,NZM,"Delhi Hazrat Nizamuddin",SNSI,"Sainagar Shirdi",00:20,22:15,"21h 55m",11,"1360 km",-----F-,0,0,0,0,0,1,0,"SL 3A 2A",0,1,1,0,1,0,0,04011,"Nov 18","Dec 09"
35,04031,"Delhi-Panipat Special",Exp,NR,DLI,"Old Delhi",PNP,"Panipat Junction",05:30,08:20,"2h 50m",3,"89 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,04032,"","Dec 15"
36,04032,"Panipat Delhi Special",Exp,NR,PNP,"Panipat Junction",DLI,"Old Delhi",18:30,21:00,"2h 30m",2,"89 km",SMTWTFS,1,1,1,1,1,1,1,"SL 3A 2A",0,1,1,0,1,0,0,04031,"","Dec 15"
37,04053,"Anand Vihar T.-Jammu Tawi Special",Exp,NR,ANVT,"Delhi Anand Vihar Terminus",JAT,"Jammu Tawi",23:15,11:50,"12h 35m",7,"633 km",--T-T-S,0,0,1,0,1,0,1,SL,0,0,0,0,1,0,0,04054,"","Dec 13"
38,04054,"Jammu Tawi-Anand Vihar Special",Exp,NR,JAT,"Jammu Tawi",ANVT,"Delhi Anand Vihar Terminus",17:30,05:40,"12h 10m",7,"633 km",S--W-F-,1,0,0,1,0,1,0,SL,0,0,0,0,1,0,0,04053,"","Dec 14"
39,04113,"Allahabad-Udhampur Special",Exp,NCR,ALD,"Allahabad Junction",UHP,Udhampur,15:20,15:20,"24h 0m",14,"1264 km",------S,0,0,0,0,0,0,1,"SL 3A",0,0,1,0,1,0,0,04114,,
40,04114,"Udhampur-Allahabad Special",Exp,NCR,UHP,Udhampur,ALD,"Allahabad Junction",20:50,22:15,"25h 25m",14,"1264 km",S------,1,0,0,0,0,0,0,"SL 3A",0,0,1,0,1,0,0,04113,,
41,04115,"Allahabad - Mumbai LTT (Weekly) Special",Exp,NCR,ALD,"Allahabad Junction",LTT,"Mumbai Lokmanya Tilak Terminus",10:20,14:35,"28h 15m",16,"1533 km",---W---,0,0,0,1,0,0,0,"SL 3A",0,0,1,0,1,0,0,04116,,
42,04116,"Mumbai LTT-Allahabad Special",Exp,NCR,LTT,"Mumbai Lokmanya Tilak Terminus",ALD,"Allahabad Junction",15:50,21:50,"30h 0m",16,"1533 km",----T--,0,0,0,0,1,0,0,"SL 3A",0,0,1,0,1,0,0,04115,,
43,04201,"Lucknow -New Delhi Special",Exp,NR,LKO,Lucknow,NDLS,"New Delhi",22:45,08:20,"9h 35m",2,"493 km",S-T-T--,1,0,1,0,1,0,0,"SL 3A 2A",0,1,1,0,1,0,0,04202,"","Dec 13"
44,04202,"New Delhi-Lucknow tri-weekly Special",Exp,NR,NDLS,"New Delhi",LKO,Lucknow,23:55,09:45,"9h 50m",2,"493 km",-M-W-F-,0,1,0,1,0,1,0,"SL 3A 2A",0,1,1,0,1,0,0,04201,"","Dec 14"
45,04203,"Varanasi-Old Delhi Special",Exp,NR,BSB,"Varanasi Junction",DLI,"Old Delhi",20:00,10:10,"14h 10m",4,"770 km",-M-W--S,0,1,0,1,0,0,1,"SL 3A 2A",0,1,1,0,1,0,0,04204,"","Dec 14"
46,04204,"Delhi Jn. -Varanasi Special",Exp,NR,DLI,"Old Delhi",BSB,"Varanasi Junction",19:30,10:45,"15h 15m",4,"770 km",S-T-T--,1,0,1,0,1,0,0,"SL 3A 2A",0,1,1,0,1,0,0,04203,"","Dec 15"
47,04601,"Jammu Tawi Udhampur Special",DEMU,NR,JAT,"Jammu Tawi",UHP,Udhampur,10:40,12:15,"1h 35m",1,"53 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,04602,,
48,04602,"UDHAMPUR JAMMUTAWI DMU",DEMU,NR,UHP,Udhampur,JAT,"Jammu Tawi",06:45,08:35,"1h 50m",4,"53 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,04601,,
49,04603,"JAT UDAHMPUR DMU",DEMU,NR,JAT,"Jammu Tawi",UHP,Udhampur,16:15,17:50,"1h 35m",4,"53 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,04604,,
50,04604,"UDHAMPUR JAMMUTAWI DMU",DEMU,NR,UHP,Udhampur,JAT,"Jammu Tawi",18:20,19:50,"1h 30m",1,"53 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,04603,,
51,04727,"Bikaner-Mumbai BandraT SF Special",SF,NWR,BKN,"Bikaner Junction",BDTS,"Mumbai Bandra Terminus",15:00,12:55,"21h 55m",26,"1212 km",-M-----,0,1,0,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,04728,"Nov 21","Jan 09"
52,04728,"Mumbai BandraT-Bikaner SF Special",SF,NWR,BDTS,"Mumbai Bandra Terminus",BKN,"Bikaner Junction",14:35,12:30,"21h 55m",26,"1212 km",--T----,0,0,1,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,04727,"Nov 22","Jan 10"
53,04741,"Sirsa - Hisar Passenger Special",Pass,?,SSA,Sirsa,HSR,Hisar,22:50,00:25,"1h 35m",5,"82 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,04742,"Nov 26","Jun 30"
54,04742,"Hisar - Sirsa Passenger Special",Pass,?,HSR,Hisar,SSA,Sirsa,04:20,06:10,"1h 50m",5,"82 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,04741,"Nov 25","Jun 30"
55,04853,"Rewari Degana Merta Special",Pass,NWR,DNA,"Degana Junction",MTD,"Merta Road Junction",22:30,23:45,"1h 15m",3,"44 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,04854,"","Nov 30"
56,04854,"Degana Merta Special",Pass,NWR,MTD,"Merta Road Junction",DNA,"Degana Junction",03:40,04:40,"1h 0m",3,"44 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,04853,"","Nov 30"
57,04857,"Pipar Road -Jodhpur Passenger Special",Pass,NWR,PPR,"Pipar Road Junction",JU,"Jodhpur Junction",06:50,08:30,"1h 40m",5,"46 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,04858,"","Nov 30"
58,04858,"Jodhpur Pipar Road Passenger Special",Pass,NWR,JU,"Jodhpur Junction",PPR,"Pipar Road Junction",18:30,19:28,"0h 58m",5,"46 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,04857,"","Nov 30"
59,05305,"Farrukhabad-KanpurAnwarganj Passenger",Pass,NER,FBD,Farrukhabad,CPA,"Kanpur Anwarganj",11:00,14:25,"3h 25m",9,"138 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,05306,,
60,05306,"KanpurAnwarganj-Farrukhabad Special",Exp,NER,CPA,"Kanpur Anwarganj",FBD,Farrukhabad,14:55,18:20,"3h 25m",9,"138 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,05305,,
61,05649,"Mumbai LTT - Kamakhya (Weekly) Special",Exp,NFR,LTT,"Mumbai Lokmanya Tilak Terminus",KYQ,Kamakhya,15:50,21:55,"54h 5m",39,"2665 km",-M-----,0,1,0,0,0,0,0,"SL 3A",0,0,1,0,1,0,0,05650,"","Dec 12"
62,05650,"Kamakhya - Mumbai LTT (Weekly) Special",Exp,NFR,KYQ,Kamakhya,LTT,"Mumbai Lokmanya Tilak Terminus",15:50,22:45,"54h 55m",39,"2613 km",----T--,0,0,0,0,1,0,0,"SL 3A",0,0,1,0,1,0,0,05649,"","Dec 08"
63,05697,"Hill Queen Express",JShtb,NFR,LMG,"Lumding Junction",LFG,"Lower Haflong",09:45,13:30,"3h 45m",3,"104 km",SMTWTFS,1,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,05698,,
64,05698,"Hill Queen Express",JShtb,NFR,LFG,"Lower Haflong",LMG,"Lumding Junction",13:45,17:30,"3h 45m",3,"104 km",SMTWTFS,1,1,1,1,1,1,1,"2S CC",0,0,0,0,0,1,1,05697,,
65,06001,"Chennai Central-Kollam SF Special",SF,SR,MAS,"Chennai Central",QLN,"Kollam Junction",15:15,05:45,"14h 30m",15,"858 km",----T--,0,0,0,0,1,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06002,"Nov 24","Jan 19"
66,06002,"Kollam-Chennai Central SF Special",SF,SR,QLN,"Kollam Junction",MAS,"Chennai Central",11:30,03:40,"16h 10m",16,"858 km",-----F-,0,0,0,0,0,1,0,"SL 3A 2A",0,1,1,0,1,0,0,06001,"","Jan 20"
67,06003,"Chennai Central-Kollam Special",Exp,SR,MAS,"Chennai Central",QLN,"Kollam Junction",20:45,11:30,"14h 45m",15,"857 km",------S,0,0,0,0,0,0,1,"SL 3A 2A",0,1,1,0,1,0,0,06002,"Nov 19","Jan 21"
68,06004,"Kollam-Chennai Central Special",Exp,SR,QLN,"Kollam Junction",MAS,"Chennai Central",17:50,10:45,"16h 55m",16,"857 km",S------,1,0,0,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06005,"Nov 20","Jan 22"
69,06005,"Chennai Central-Kollam SF Special",SF,SR,MAS,"Chennai Central",QLN,"Kollam Junction",20:45,11:30,"14h 45m",15,"857 km",-M-----,0,1,0,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06006,"Nov 21","Jan 16"
70,06006,"Kollam-Chennai Central SF Special",SF,SR,QLN,"Kollam Junction",MAS,"Chennai Central",17:50,10:45,"16h 55m",16,"857 km",--T----,0,0,1,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06007,"Nov 22","Jan 17"
71,06007,"Chennai Central-Kollam SF Special",SF,SR,MAS,"Chennai Central",QLN,"Kollam Junction",15:15,06:45,"15h 30m",15,"858 km",--T----,0,0,1,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06008,"Nov 22","Jan 17"
72,06008,"KollamChennai Central SF Special",SF,SR,QLN,"Kollam Junction",MAS,"Chennai Central",11:30,03:40,"16h 10m",16,"858 km",---W---,0,0,0,1,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06007,"","Dec 18"
73,06009,"Chennai CentralKollam SF Special",SF,SR,MAS,"Chennai Central",QLN,"Kollam Junction",23:30,15:30,"16h 0m",15,"858 km",---W---,0,0,0,1,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06008,"","Jan 18"
74,06010,"KollamChennai Central SF Special",SF,SR,QLN,"Kollam Junction",MAS,"Chennai Central",21:10,12:40,"15h 30m",16,"858 km",----T--,0,0,0,0,1,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06009,"Nov 24","Jan 19"
75,06011,"Chennai Central Kollam (Weekly) SF Special",SF,SR,MAS,"Chennai Central",QLN,"Kollam Junction",15:15,05:45,"14h 30m",15,"858 km",-----F-,0,0,0,0,0,1,0,"SL 3A 2A",0,1,1,0,1,0,0,06010,"Nov 25","Jan 20"
76,06012,"Kollam Chennai Central (Weekly) SF Special",SF,SR,QLN,"Kollam Junction",MAS,"Chennai Central",11:30,03:40,"16h 10m",16,"858 km",------S,0,0,0,0,0,0,1,"SL 3A 2A",0,1,1,0,1,0,0,06011,"Nov 26","Jan 21"
77,06201,"Mysore-Sainagar Shirdi Special",Exp,SWR,MYS,"Mysore Junction",SNSI,"Sainagar Shirdi",05:30,11:30,"30h 0m",22,"1304 km",-M-----,0,1,0,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06202,,
78,06202,"Sainagar Shirdi - Mysore Special",Exp,SWR,SNSI,"Sainagar Shirdi",MYS,"Mysore Junction",23:55,07:10,"31h 15m",23,"1304 km",--T----,0,0,1,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06201,"","Dec 27"
79,06215,"Mysore Nanjangud Town passenger",Pass,SWR,MYS,"Mysore Junction",NTW,"Nanjangud Town",16:10,17:05,"0h 55m",5,"25 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06216,,
80,06216,"Nanjangud Town Mysore Passenger",Pass,SWR,NTW,"Nanjangud Town",MYS,"Mysore Junction",17:30,18:20,"0h 50m",5,"25 km",SMTWTFS,1,1,1,1,1,1,1,"",0,0,0,0,0,0,0,06215,,
81,06228,"Shimoga Mysore Express",Exp,SWR,SMET,"Shimoga Town",MYS,"Mysore Junction",22:10,07:00,"8h 50m",9,"276 km",SMTWTFS,1,1,1,1,1,1,1,SL,0,0,0,0,1,0,0,,,
82,06301,"Nagercoil-Mangalore Special",Exp,SR,NCJ,"Nagercoil Junction",MAJN,"Mangalore Junction",16:50,10:30,"17h 40m",22,"711 km",-M-----,0,1,0,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06302,"Nov 21","Jan 16"
83,06302,"Mangalore-Nagercoil Special",Exp,SR,MAJN,"Mangalore Junction",NCJ,"Nagercoil Junction",16:15,07:50,"15h 35m",22,"711 km",--T----,0,0,1,0,0,0,0,"SL 3A 2A",0,1,1,0,1,0,0,06301,"Nov 22","Jan 17"
84,06345,"Bangalore Ernakulam Sabarimala Special",Exp,SR,SBC,"Bangalore City Junction",ERS,"Ernakulam Junction (South)",18:50,06:30,"11h 40m",12,"638 km",-----F-,0,0,0,0,0,1,0,"SL 3A 2A",0,1,1,0,1,0,0,06346,"Nov 18","Jan 20"
